"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2142;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;2400.00;2400.00
2142;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;167934.00;167934.00
2142;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;3000.00;3000.00
2143;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Ovinos;1200.00;1200.00
2143;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;3056.59;3056.59
2145;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;5500.00;5500.00
2145;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;3700.00;3700.00
2145;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;19800.00;19800.00
2145;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;18500.00;18500.00
2145;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;36240.00;36240.00
2146;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Bovinos Carne;7500.00;7500.00
2146;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;5000.00;5000.00
2146;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras frutas Lavoura Temporaria;6000.00;6000.00
2146;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;6000.00;6000.00
2146;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovinos;9000.00;9000.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Banana;200.00;200.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;400.00;400.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Laranja;200.00;200.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Mandioca;200.00;200.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Frutas Lavoura Permanente;200.00;200.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;200.00;200.00
2147;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;8000.00;8000.00
2147;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;8400.00;8400.00
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Avicultura;Galinhas/Frangos;900.00;900.00
