"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;1000.00;1000.00
2198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;600.00;600.00
2198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;500.00;500.00
2198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Produtos Olericolas em Geral;1000.00;1000.00
2199;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho em Grão - Kg;9000.00;9000.00
2199;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja em Grão - Kg;210648.00;210648.00
2199;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;24000.00;19734.00
2201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Agroindústria;Derivados da Cana-de-açucar (exceto cachaça);20000.00;20000.00
2201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;6100.00;6100.00
2201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;25000.00;25000.00
2203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;500.00;500.00
2203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Bovinos Carne;10400.00;10400.00
2203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;800.00;800.00
2203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;210.00;210.00
2203;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;21276.00;21276.00
2204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;2000.00;2000.00
2204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;180.00;180.00
2204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;720.00;720.00
2204;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;500.00;500.00
2204;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;2400.00;2400.00
3194;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;73194.75;73194.75
3194;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;24000.00;24000.00
3194;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;68400.00;68400.00
3195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Corte;525.00;525.00
3195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;400.00;400.00
3195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;500.00;500.00
3195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovos;2668.00;2668.00
3195;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;7200.00
3196;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;50000.00;50000.00
3196;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;60000.00;60000.00
3196;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;18400.00;18400.00
3196;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio rural;48500.00;20993.59
3197;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;125585.00;125585.00
3197;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;70998.00;70998.00
3197;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo;22714.00;22714.00
3198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;7200.00;7200.00
3200;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Uva (Vinho, Suco ou Passas) - Kg;472218.00;480000.00
3200;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;75000.00;75000.00
3201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;1500.00;1500.00
3201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Culturas;1500.00;1500.00
3201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;1200.00;1200.00
3201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;3500.00;3500.00
3202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo;205031.00;205031.00
3202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;25000.00;25000.00
3202;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Outros Benefícios Sociais;18356.00;18356.00
3203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Arroz;320000.00;320000.00
3203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;28000.00;28000.00
3209;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;22833.95;22833.95
3209;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;PENSAO POR MORTE PREVIDENCIARIA;12430.77;12430.77
3211;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo;75447.00;75447.00
3211;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;10000.00;10000.00
3211;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;55500.00;55500.00
3213;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;84204.00;84204.00
3213;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;15756.00;15756.00
3216;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Agroindústria;Produtos da Apicultura Processados;50000.00;50000.00
4196;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café Canephora, Robusta ou Conilon  em Grão (Verde/Não-Torrado) - Kg;139452.00;139452.00
4196;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;18852.00;18852.00
4196;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;38445.00;32297.00
4197;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;19900.00;19900.00
4198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;2800.00;2800.00
4198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca;600.00;600.00
4198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;66000.00;66000.00
4198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;1500.00;1500.00
4198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;72700.00;72700.00
4199;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;2970.10;2970.10
4199;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio rural;2500.00;2500.00
4200;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;42476.42;42476.42
4200;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;151083.98;151083.98
4200;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo;39401.72;39401.72
4201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana - Kg;150.00;150.00
4201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão Preto em Grão - Kg;150.00;150.00
4201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho em Grão - Kg;70.00;70.00
4201;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;2384.00
4202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;12900.00;12900.00
4202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo;41239.71;41239.71
4202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;1300.00;1300.00
4202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;11586.15;11586.15
4202;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;28644.46;28644.46
4205;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;37069.65;37069.65
4205;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo;27669.52;27669.52
4205;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;31385.38;31385.38
4209;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;4500.00;4500.00
4209;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outros Animais - Carne;5500.00;5500.00
4209;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo em Folha Seca - Kg;113266.88;113266.88
4209;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;41004.00;41004.00
4210;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Lavouras Temporarias;10074.80;10074.80
4210;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;200500.00;200500.00
4210;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo;3619.58;3619.58
4212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;420.00;420.00
4212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;100.00;100.00
4212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;150.00;150.00
4212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovinos;600.00;600.00
4212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovos;240.00;240.00
4212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Produtos Olericolas em Geral;50.00;50.00
4212;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;7200.00
4213;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;1000.00;1000.00
4213;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;1000.00;1000.00
4213;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;600.00;600.00
4214;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;24350.00;24350.00
4216;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;2500.00;2500.00
4216;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;3500.00;3500.00
4216;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria ou pensão INSS;15756.00;15756.00
4217;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;69982.71;69982.71
4222;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Horticultura;Tomate (Estaqueado) - Kg;33000.00;33000.00
4222;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;17000.00;17000.00
4225;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;19037.70;19037.70
4225;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;10015.88;10015.88
4226;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;24000.00;24000.00
4226;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio rural;24000.00;24000.00
4227;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;60000.00;60000.00
4227;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aluguel de Benfeitorias e Instalações;54592.00;54592.00
4228;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;14307.94;14307.94
4228;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;203540.98;203540.98
4230;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Laranja;5000.00;5000.00
4230;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;10000.00;10000.00
4230;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca;1000.00;1000.00
4230;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Maricultura e Aquicultura;Piscicultura;40000.00;40000.00
4230;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;4500.00;4500.00
4230;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;4000.00;4000.00
4231;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;4275.00;4275.00
4231;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;8075.00;8075.00
4231;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;100000.00;100000.00
4231;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;6050.00;6050.00
4231;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;17270.00;17270.00
4232;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras frutas Lavoura Temporaria;3000.00;3000.00
4232;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;6000.00;6000.00
4232;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;6270.00;6270.00
4234;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja em Grão - Kg;42389.10;42389.10
4234;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;AMP. SOCIAL PESSOA PORTADORA DEFICIENCIA;18992.00;18992.00
4235;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café Arábica em Grão (Verde/Não-Torrado) - Kg;249070.00;249070.00
4235;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;PENSAO POR MORTE PREVIDENCIARIA;18216.00;18216.00
4236;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Aveia;19849.00;19849.00
4236;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;27650.00;27650.00
4236;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;182000.76;182000.76
4236;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;2562.20;2562.20
4236;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;36712.00;36712.00
4237;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;6000.00;6000.00
4237;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;9500.00;9500.00
4238;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;100.00;100.00
4238;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;80.00;80.00
4238;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;500.00;500.00
4238;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Ovinos;1850.00;1850.00
4238;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Turismo e Artesanato;Outras Rendas de Artesanato;550.00;550.00
4238;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;4500.00;4500.00
4238;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;4800.00
4239;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;84897.74;84897.74
4239;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;17160.00;17160.00
4240;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;9600.00;9600.00
4240;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Silvicultura e Extrativismo;Outros Produtos da Silvicultura e Extrativismo;1920.00;1920.00
4240;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;4800.00;4800.00
4241;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;500.00;500.00
4241;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;300.00;300.00
4241;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;2700.00;2700.00
4241;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;3424.00;3424.00
4242;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;2000.00;2000.00
4242;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Lavouras Permanentes;500.00;500.00
4242;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca;2500.00;2500.00
4242;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras frutas Lavoura Temporaria;2000.00;2000.00
4242;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Silvicultura e Extrativismo;Açaí;8000.00;8000.00
5195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;30000.00;30000.00
5195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;5040.00;5040.00
5195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;8400.00;8400.00
5195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;63094.00;63094.00
5198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Agroindústria;Queijos;1200.00;1200.00
5198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;1500.00;1500.00
5198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;2000.00;2000.00
5198;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;4000.00;4000.00
5198;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;17712.00;17712.00
5201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;70000.00;70000.00
5201;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Inhame e Cara;70000.00;70000.00
5202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;450.00;450.00
5202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;9000.00;9000.00
5202;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Turismo e Artesanato;Outras Rendas de Artesanato;3360.00;3360.00
5202;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;4800.00;4800.00
5203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Lavouras Permanentes;18720.00;18720.00
5203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Inhame e Cara;3700.00;3700.00
5203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca;5600.00;5600.00
5203;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Lavouras Temporarias;2500.00;2500.00
5204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;1000.00;1000.00
5204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;700.00;700.00
5204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;800.00;800.00
5204;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Produtos Olericolas em Geral;1500.00;1500.00
5204;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;3800.00;3800.00
5205;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Avicultura;Avicultura Integrada;331024.00;331024.00
5205;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;52626.00;52626.00
5206;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;42516.84;42516.84
5206;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;226167.69;226167.69
5206;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo;39775.72;39775.72
5207;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;1230.00;1230.00
5207;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovos;960.00;960.00
5210;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;115500.00;115500.00
5210;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Lucro de atividade de pessoa jurídica não agrícola;56100.16;56100.16
5211;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Lavouras Permanentes;3000.00;3000.00
5211;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Lavouras Temporarias;8000.00;8000.00
5211;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Ovinos;3000.00;3000.00
5212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;1200.00;1300.00
5212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;750.00;800.00
5212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana - Kg;14000.00;14500.00
5212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Batata-Doce - Kg;28800.00;28800.00
5212;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Pecuária;Bovinos - Corte;32700.00;32700.00
5212;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENT. TEMPO DE SERVICO DE PROFESSOR;71500.00;61673.12
5212;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;AUXILIO ACIDENTE;8400.00;8400.00
5214;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Caprinos;1500.00;1500.00
5214;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;420.00;420.00
5214;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;180.00;180.00
5214;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;PENSAO POR MORTE PREVIDENCIARIA;17816.00;17816.00
5216;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo;185000.00;185000.00
5216;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;20000.00;20000.00
5217;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;450000.00;450000.00
5218;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Lavouras Permanentes;21000.00;21000.00
5218;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Culturas;75000.00;75000.00
5218;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio rural;37579.49;37579.49
5218;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;53443.26;53443.26
5219;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;130920.00;130920.00
5219;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;26128.00;26128.00
5219;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria ou pensão INSS;112606.00;112606.00
5220;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;150.00;150.00
5220;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;240.00;240.00
