municipio,nome_municipio_uf,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,idhm_educ_sub_freq
5212204,Jussara (GO),0.22600000000000001,"0,078","0,297","0,302",0.74299999999999999,"0,842","0,635","0,768","0,485","0,726"
5212253,Lagoa Santa (GO),0.17199999999999999,"0,007","0,214","0,296",0.74,"0,868","0,638","0,733","0,450","0,760"
5212303,Leopoldo de Bulhões (GO),0.28899999999999998,"0,131","0,409","0,327",0.65900000000000003,"0,812","0,529","0,665","0,363","0,639"
5212600,Mairipotaba (GO),0.28599999999999998,"0,187","0,327","0,343",0.745,"0,854","0,648","0,748","0,464","0,766"
5212709,Mambaí (GO),0.38900000000000001,"0,237","0,459","0,470",0.626,"0,816","0,494","0,610","0,302","0,632"
5212808,Mara Rosa (GO),0.316,"0,145","0,420","0,383",0.69099999999999995,"0,838","0,579","0,680","0,375","0,719"
5212907,Marzagão (GO),0.246,"0,071","0,346","0,320",0.69899999999999995,"0,822","0,601","0,692","0,431","0,709"
5212956,Matrinchã (GO),0.29499999999999998,"0,150","0,310","0,424",0.67900000000000005,"0,840","0,572","0,651","0,390","0,693"
5213004,Maurilândia (GO),0.376,"0,352","0,440","0,336",0.67700000000000005,"0,823","0,554","0,682","0,408","0,645"
5213087,Minaçu (GO),0.29799999999999999,"0,140","0,322","0,432",0.70699999999999996,"0,803","0,637","0,691","0,498","0,721"
5213103,Mineiros (GO),0.253,"0,127","0,357","0,276",0.71799999999999997,"0,840","0,584","0,753","0,474","0,648"
5213400,Moiporá (GO),0.23400000000000001,"0,054","0,325","0,324",0.69599999999999995,"0,818","0,632","0,652","0,405","0,789"
5213509,Monte Alegre de Goiás (GO),0.47,"0,289","0,582","0,538",0.61499999999999999,"0,816","0,481","0,592","0,350","0,564"
5213707,Montes Claros de Goiás (GO),0.27500000000000002,"0,159","0,288","0,379",0.70699999999999996,"0,806","0,622","0,704","0,444","0,736"
5213756,Montividiu (GO),0.191,"0,049","0,274","0,251",0.73299999999999998,"0,827","0,644","0,738","0,495","0,735"
5213772,Montividiu do Norte (GO),0.377,"0,148","0,484","0,499",0.61299999999999999,"0,816","0,488","0,578","0,362","0,566"
