"nr_caf";"ds_tipo_area";"ds_tipo_unidade_medida";"nr_area";"cd_municipio";"sg_uf";"nm_municipio";"ds_tipo_localizacao_area";"ds_condicao_dominio";"st_imovel_principal";"nr_latitude";"nr_longitude"
4234;Terra;ha;2.53;"4104451";PR;Cantagalo;Rural;Proprietário;true;-25.40696;-52.16933
4234;Terra;ha;2.59;"4104451";PR;Cantagalo;Rural;Proprietário;false;-25.407369;-52.167845
4234;Terra;ha;5.01;"4104451";PR;Cantagalo;Rural;Proprietário;false;-25.408781927548088;-52.169448017196665
4235;Terra;ha;4.00;"3139508";MG;Manhumirim;Rural;Arrendatário;true;-20.353622;-41.995283
4235;Terra;ha;3.50;"3139508";MG;Manhumirim;Rural;Arrendatário;false;-20.357610;-41.935093
4235;Terra;ha;5.00;"3139508";MG;Manhumirim;Rural;Arrendatário;false;-20.357099;-42.004834
4236;Terra;ha;37.60;"4311700";RS;Machadinho;Rural;Proprietário;true;-27.538618;-51.675997
4238;Terra;ha;1.23;"2603108";PE;Cachoeirinha;Rural;Posseiro;true;-8.43285022388958;-36.30107171386841
4239;Terra;ha;15.00;"4309126";RS;Gramado dos Loureiros;Rural;Parceiro/meeiro;true;-27.44353506402137;-52.933786511421204
4239;Terra;ha;3.70;"4309126";RS;Gramado dos Loureiros;Rural;Parceiro/meeiro;false;-27.443163;-52.923123
4240;Terra;ha;4.00;"2607505";PE;Itaíba;Rural;Posseiro;true;-8.95147821376089;-37.4437290430069
4241;Terra;ha;14.18;"2607703";PE;Itapetim;Rural;Parceiro/meeiro;true;-7.331158;-37.195706
4242;Terra;ha;32.96;"1301308";AM;Codajás;Rural;Proprietário;true;-3.819017;-62.010297
5195;Terra;ha;9.68;"5208608";GO;Goianésia;Rural;Proprietário;true;-15.403748299023063;-49.16355550289154
5198;Terra;ha;5.40;"2510006";PB;Nazarezinho;Rural;Proprietário;true;-6.564965;-38.232371
