Cod_IBGE,Região,UF,Município,Cadinsan_absoluto_com_PBF,Cadinsan_absoluto_sem_PBF,Cadastros_Cadunico,Cadinsan_proporcional_com_PBF,Cadinsan_proporcional_sem_PBF
5206800,Centro-Oeste,Goiás,Damolândia,124,180,695,"17,8%","25,9%"
1100403,Norte,Rondônia,Alto Paraíso,123,638,1797,"6,8%","35,5%"
1718840,Norte,Tocantins,Sandolândia,123,392,783,"15,7%","50,1%"
2933257,Nordeste,Bahia,Vereda,123,146,996,"12,3%","14,7%"
3125101,Sudeste,Minas Gerais,Extrema,123,232,3862,"3,2%","6,0%"
3137809,Sudeste,Minas Gerais,Lambari,123,360,2355,"5,2%","15,3%"
3139201,Sudeste,Minas Gerais,Malacacheta,123,360,1699,"7,2%","21,2%"
3164472,Sudeste,Minas Gerais,São Sebastião do Anta,123,235,989,"12,4%","23,8%"
3505302,Sudeste,São Paulo,Barra Bonita,123,149,1655,"7,4%","9,0%"
3521804,Sudeste,São Paulo,Itaí,123,226,1631,"7,5%","13,9%"
4104600,Sul,Paraná,Capitão Leôni- das Marques,123,244,2547,"4,8%","9,6%"
4214805,Sul,Santa Catarina,Rio do Sul,123,159,2201,"5,6%","7,2%"
2203453,Nordeste,Piauí,Dom Inocêncio,122,678,2261,"5,4%","30,0%"
2410405,Nordeste,Rio Grande do Norte,Pureza,122,461,2092,"5,8%","22,0%"
2514206,Nordeste,Paraíba,São José da Lagoa Tapada,122,183,1147,"10,6%","16,0%"
3128808,Sudeste,Minas Gerais,Guidoval,122,220,1203,"10,1%","18,3%"
3522703,Sudeste,São Paulo,Itápolis,122,215,1568,"7,8%","13,7%"
3532405,Sudeste,São Paulo,Nazaré Paulista,122,309,1748,"7,0%","17,7%"
5103205,Centro-Oeste,Mato Grosso,Colíder,122,315,2751,"4,4%","11,5%"
5108600,Centro-Oeste,Mato Grosso,Vila Rica,122,199,1638,"7,4%","12,1%"
5218904,Centro-Oeste,Goiás,Rubiataba,122,232,1992,"6,1%","11,6%"
1718907,Norte,Tocantins,Santa Rosa do Tocantins,121,281,671,"18,0%","41,9%"
2405108,Nordeste,Rio Grande do Norte,Jandaíra,121,277,1186,"10,2%","23,4%"
2413607,Nordeste,Rio Grande do Norte,Severiano Melo,121,385,1523,"7,9%","25,3%"
2503506,Nordeste,Paraíba,Cacimba de Dentro,121,447,2200,"5,5%","20,3%"
2602407,Nordeste,Pernambuco,Brejão,121,42,1475,"8,2%","2,8%"
2706109,Nordeste,Alagoas,Ouro Branco,121,465,2038,"5,9%","22,8%"
2805000,Nordeste,Sergipe,Pedra Mole,121,225,729,"16,6%","30,9%"
2911659,Nordeste,Bahia,Guajeru,121,44,961,"12,6%","4,6%"
2919157,Nordeste,Bahia,Lapão,121,948,4252,"2,8%","22,3%"
2930006,Nordeste,Bahia,Sebastião Laranjeiras,121,322,1538,"7,9%","20,9%"
3102308,Sudeste,Minas Gerais,Alvinópolis,121,297,1421,"8,5%","20,9%"
3106655,Sudeste,Minas Gerais,Berizal,121,193,1002,"12,1%","19,3%"
3126505,Sudeste,Minas Gerais,Francisco Badaró,121,307,1372,"8,8%","22,4%"
3145455,Sudeste,Minas Gerais,Olhos-d’Água,121,189,954,"12,7%","19,8%"
3163805,Sudeste,Minas Gerais,São Miguel do Anta,121,271,1001,"12,1%","27,1%"
3203700,Sudeste,Espírito Santo,Muniz Freire,121,232,1759,"6,9%","13,2%"
3205010,Sudeste,Espírito Santo,Sooretama,121,211,2429,"5,0%","8,7%"
3302452,Sudeste,Rio de Janeiro,Macuco,121,248,1495,"8,1%","16,6%"
3304508,Sudeste,Rio de Janeiro,Rio das Flores,121,202,1168,"10,4%","17,3%"
4122206,Sul,Paraná,Rio Branco do Sul,121,317,3170,"3,8%","10,0%"
4204806,Sul,Santa Catarina,Curitibanos,121,244,2984,"4,1%","8,2%"
2205565,Nordeste,Piauí,Lagoa do Barro do Piauí,120,65,977,"12,3%","6,7%"
2208650,Nordeste,Piauí,Queimada Nova,120,437,1640,"7,3%","26,6%"
2405306,Nordeste,Rio Grande do Norte,Januário Cicco,120,263,1187,"10,1%","22,2%"
2508307,Nordeste,Paraíba,Lagoa Seca,120,885,3137,"3,8%","28,2%"
2509305,Nordeste,Paraíba,Mataraca,120,447,1978,"6,1%","22,6%"
3110004,Sudeste,Minas Gerais,Caeté,120,403,2553,"4,7%","15,8%"
3121803,Sudeste,Minas Gerais,Dionísio,120,232,964,"12,4%","24,1%"
3138658,Sudeste,Minas Gerais,Lontra,120,321,1657,"7,2%","19,4%"
3302304,Sudeste,Rio de Janeiro,Laje do Muriaé,120,278,1265,"9,5%","22,0%"
3547502,Sudeste,São Paulo,Santa Rita do Passa Quatro,120,188,1733,"6,9%","10,8%"
1720309,Norte,Tocantins,São Sebastião do Tocantins,119,383,855,"13,9%","44,8%"
2100501,Nordeste,Maranhão,Alto Parnaíba,119,307,1516,"7,8%","20,3%"
2107357,Nordeste,Maranhão,Nova Olinda do Maranhão,119,487,2540,"4,7%","19,2%"
2502904,Nordeste,Paraíba,Brejo dos Santos,119,161,1320,"9,0%","12,2%"
2509602,Nordeste,Paraíba,Monte Horebe,119,95,1076,"11,1%","8,8%"
2513802,Nordeste,Paraíba,Santa Teresinha,119,60,867,"13,7%","6,9%"
2918357,Nordeste,Bahia,João Dourado,119,815,3919,"3,0%","20,8%"
2927804,Nordeste,Bahia,Santa Cruz da Vitória,119,348,1372,"8,7%","25,4%"
3129509,Sudeste,Minas Gerais,Ibiá,119,240,1744,"6,8%","13,8%"
3551405,Sudeste,São Paulo,Serra Azul,119,292,1169,"10,2%","25,0%"
4215802,Sul,Santa Catarina,São Bento do Sul,119,196,3102,"3,8%","6,3%"
4305439,Sul,Rio Grande do Sul,Chuí,119,139,601,"19,8%","23,1%"
1100320,Norte,Rondônia,São Miguel do Guaporé,118,468,1782,"6,6%","26,3%"
2106102,Nordeste,Maranhão,Loreto,118,282,1949,"6,1%","14,5%"
2404606,Nordeste,Rio Grande do Norte,Ielmo Marinho,118,296,1884,"6,3%","15,7%"
2413904,Nordeste,Rio Grande do Norte,Taipu,118,459,1635,"7,2%","28,1%"
2500734,Nordeste,Paraíba,Amparo,118,163,687,"17,2%","23,7%"
2701209,Nordeste,Alagoas,Cacimbinhas,118,302,1317,"9,0%","22,9%"
2921302,Nordeste,Bahia,Milagres,118,594,1923,"6,1%","30,9%"
3124906,Sudeste,Minas Gerais,Eugenópolis,118,344,1635,"7,2%","21,0%"
3128253,Sudeste,Minas Gerais,Guaraciama,118,199,1200,"9,8%","16,6%"
3538808,Sudeste,São Paulo,Piraju,118,151,2137,"5,5%","7,1%"
4100608,Sul,Paraná,Alto Paraná,118,214,1443,"8,2%","14,8%"
4110607,Sul,Paraná,Iporã,118,200,1592,"7,4%","12,6%"
4127601,Sul,Paraná,Tijucas do Sul,118,285,2293,"5,1%","12,4%"
5106174,Centro-Oeste,Mato Grosso,Nova Nazaré,118,184,966,"12,2%","19,0%"
5202502,Centro-Oeste,Goiás,Aruanã,118,218,1220,"9,7%","17,9%"
5204854,Centro-Oeste,Goiás,Campo Limpo de Goiás,118,193,1211,"9,7%","15,9%"
1703800,Norte,Tocantins,Buriti do To- cantins,117,548,1025,"11,4%","53,5%"
2202653,Nordeste,Piauí,Caxingó,117,317,1086,"10,8%","29,2%"
2513356,Nordeste,Paraíba,Santa Inês,117,224,772,"15,2%","29,0%"
2912004,Nordeste,Bahia,Ibiassucê,117,371,1678,"7,0%","22,1%"
3112604,Sudeste,Minas Gerais,Capinópolis,117,181,1593,"7,3%","11,4%"
3144003,Sudeste,Minas Gerais,Mutum,117,231,2695,"4,3%","8,6%"
3149952,Sudeste,Minas Gerais,Periquito,117,173,1136,"10,3%","15,2%"
3166808,Sudeste,Minas Gerais,Serra do Salitre,117,179,1516,"7,7%","11,8%"
3170909,Sudeste,Minas Gerais,Varzelândia,117,786,2897,"4,0%","27,1%"
3508108,Sudeste,São Paulo,Buritama,117,262,1761,"6,6%","14,9%"
3535606,Sudeste,São Paulo,Paraibuna,117,223,1522,"7,7%","14,7%"
3536208,Sudeste,São Paulo,Pariquera-Açu,117,250,1938,"6,0%","12,9%"
3549508,Sudeste,São Paulo,São José da Bela Vista,117,134,982,"11,9%","13,6%"
5003504,Centro-Oeste,Mato Grosso do Sul,Douradina,117,221,1111,"10,5%","19,9%"
5211404,Centro-Oeste,Goiás,Itauçu,117,231,1134,"10,3%","20,4%"
1200435,Norte,Acre,Santa Rosa do Purus,116,217,1012,"11,5%","21,4%"
2510402,Nordeste,Paraíba,Olho d’Água,116,132,995,"11,7%","13,3%"
2706604,Nordeste,Alagoas,Paulo Jacinto,116,239,1552,"7,5%","15,4%"
2911303,Nordeste,Bahia,Gentio do Ouro,116,385,1965,"5,9%","19,6%"
3102803,Sudeste,Minas Gerais,Andrelândia,116,249,1524,"7,6%","16,3%"
3124005,Sudeste,Minas Gerais,Ervália,116,181,2258,"5,1%","8,0%"
3127800,Sudeste,Minas Gerais,Grão Mogol,116,334,1863,"6,2%","17,9%"
3203106,Sudeste,Espírito Santo,Jerônimo Monteiro,116,227,1540,"7,5%","14,7%"
3204302,Sudeste,Espírito Santo,Presidente Kennedy,116,328,2327,"5,0%","14,1%"
3509403,Sudeste,São Paulo,Cajuru,116,200,1625,"7,1%","12,3%"
3517703,Sudeste,São Paulo,Guará,116,274,1411,"8,2%","19,4%"
4125001,Sul,Paraná,São João do Ivaí,116,191,1409,"8,2%","13,6%"
4216503,Sul,Santa Catarina,São Joaquim,116,166,1804,"6,4%","9,2%"
1707702,Norte,Tocantins,Filadélfia,115,700,1472,"7,8%","47,6%"
1713809,Norte,Tocantins,Palmeiras do Tocantins,115,453,1094,"10,5%","41,4%"
2205300,Nordeste,Piauí,Jerumenha,115,263,851,"13,5%","30,9%"
2205458,Nordeste,Piauí,Joca Marques,115,310,1000,"11,5%","31,0%"
2414100,Nordeste,Rio Grande do Norte,Tenente Ananias,115,349,1483,"7,8%","23,5%"
2705002,Nordeste,Alagoas,Mata Grande,115,729,2530,"4,5%","28,8%"
2801900,Nordeste,Sergipe,Cumbe,115,248,741,"15,5%","33,5%"
3110707,Sudeste,Minas Gerais,Cambuquira,115,218,1750,"6,6%","12,5%"
3137700,Sudeste,Minas Gerais,Lajinha,115,551,3325,"3,5%","16,6%"
3169208,Sudeste,Minas Gerais,Tombos,115,380,1333,"8,6%","28,5%"
3301603,Sudeste,Rio de Janeiro,Duas Barras,115,167,1245,"9,2%","13,4%"
4109906,Sul,Paraná,Icaraíma,115,173,1130,"10,2%","15,3%"
4113254,Sul,Paraná,Laranjal,115,254,1009,"11,4%","25,2%"
5100300,Centro-Oeste,Mato Grosso,Alto Araguaia,115,231,1226,"9,4%","18,8%"
5105309,Centro-Oeste,Mato Grosso,Luciara,115,148,562,"20,5%","26,3%"
5220009,Centro-Oeste,Goiás,São João d’Aliança,115,246,1543,"7,5%","15,9%"
1101757,Norte,Rondônia,Vale do Anari,114,527,1501,"7,6%","35,1%"
1717008,Norte,Tocantins,Pindorama do Tocantins,114,350,767,"14,9%","45,6%"
2101806,Nordeste,Maranhão,Benedito Leite,114,128,886,"12,9%","14,4%"
2103257,Nordeste,Maranhão,Cidelândia,114,526,2833,"4,0%","18,6%"
2105153,Nordeste,Maranhão,Igarapé do Meio,114,330,2297,"5,0%","14,4%"
2208858,Nordeste,Piauí,Riacho Frio,114,311,1188,"9,6%","26,2%"
2503407,Nordeste,Paraíba,Cacimba de Areia,114,131,957,"11,9%","13,7%"
2508109,Nordeste,Paraíba,Lagoa,114,251,1054,"10,8%","23,8%"
2612471,Nordeste,Pernambuco,Santa Cruz da Baixa Verde,114,524,2426,"4,7%","21,6%"
2806800,Nordeste,Sergipe,São Domingos,114,510,1876,"6,1%","27,2%"
3162575,Sudeste,Minas Gerais,São João do Manteninha,114,240,1122,"10,2%","21,4%"
3539509,Sudeste,São Paulo,Pitangueiras,114,253,1928,"5,9%","13,1%"
1703073,Norte,Tocantins,Barra do Ouro,113,367,933,"12,1%","39,3%"
2210300,Nordeste,Piauí,São Julião,113,232,940,"12,0%","24,7%"
2406700,Nordeste,Rio Grande do Norte,Lajes,113,198,1451,"7,8%","13,6%"
2410207,Nordeste,Rio Grande do Norte,Portalegre,113,459,1877,"6,0%","24,5%"
2501401,Nordeste,Paraíba,Baía da Traição,113,397,1476,"7,7%","26,9%"
2508703,Nordeste,Paraíba,Mãe d’Água,113,183,1017,"11,1%","18,0%"
2805307,Nordeste,Sergipe,Pirambu,113,376,1406,"8,0%","26,7%"
2902807,Nordeste,Bahia,Barra da Estiva,113,651,2922,"3,9%","22,3%"
3131802,Sudeste,Minas Gerais,Itabirinha,113,319,1410,"8,0%","22,6%"
3502200,Sudeste,São Paulo,Angatuba,113,312,2605,"4,3%","12,0%"
3509908,Sudeste,São Paulo,Cananéia,113,258,1467,"7,7%","17,6%"
3541703,Sudeste,São Paulo,Quatá,113,212,1160,"9,7%","18,3%"
4107603,Sul,Paraná,Faxinal,113,354,2735,"4,1%","12,9%"
5100102,Centro-Oeste,Mato Grosso,Acorizal,113,291,1138,"9,9%","25,6%"
1501253,Norte,Pará,Bannach,112,206,534,"21,0%","38,6%"
1600238,Norte,Amapá,Ferreira Gomes,112,721,1263,"8,9%","57,1%"
1702703,Norte,Tocantins,Aurora do Tocantins,112,215,516,"21,7%","41,7%"
2112233,Nordeste,Maranhão,Trizidela do Vale,112,456,2639,"4,2%","17,3%"
2307254,Nordeste,Ceará,Jijoca de Jeri- coacoara,112,706,3104,"3,6%","22,7%"
3100302,Sudeste,Minas Gerais,Abre Campo,112,270,1241,"9,0%","21,8%"
3145307,Sudeste,Minas Gerais,Novo Cruzeiro,112,670,3467,"3,2%","19,3%"
3153608,Sudeste,Minas Gerais,Prudente de Morais,112,176,1086,"10,3%","16,2%"
3163003,Sudeste,Minas Gerais,São José da Safira,112,163,770,"14,5%","21,2%"
4105102,Sul,Paraná,Centenário do Sul,112,267,1228,"9,1%","21,7%"
4114609,Sul,Paraná,Marechal Cândi- do Rondon,112,163,2558,"4,4%","6,4%"
4117909,Sul,Paraná,Palotina,112,190,1940,"5,8%","9,8%"
5101258,Centro-Oeste,Mato Grosso,Araputanga,112,165,1301,"8,6%","12,7%"
5107180,Centro-Oeste,Mato Grosso,Ribeirão Casca- lheira,112,241,1397,"8,0%","17,3%"
5107859,Centro-Oeste,Mato Grosso,São Félix do Araguaia,112,259,1486,"7,5%","17,4%"
5213756,Centro-Oeste,Goiás,Montividiu,112,157,1365,"8,2%","11,5%"
2514008,Nordeste,Paraíba,São João do Cariri,111,210,1323,"8,4%","15,9%"
2910909,Nordeste,Bahia,Firmino Alves,111,242,1285,"8,6%","18,8%"
2933174,Nordeste,Bahia,Varzedo,111,473,1592,"7,0%","29,7%"
3120300,Sudeste,Minas Gerais,Cristália,111,282,1417,"7,8%","19,9%"
3128907,Sudeste,Minas Gerais,Guimarânia,111,209,1415,"7,8%","14,8%"
3151602,Sudeste,Minas Gerais,Planura,111,181,1134,"9,8%","16,0%"
3157906,Sudeste,Minas Gerais,Santa Margarida,111,520,2583,"4,3%","20,1%"
3160405,Sudeste,Minas Gerais,Santo Antônio do Monte,111,200,1975,"5,6%","10,1%"
3547601,Sudeste,São Paulo,Santa Rosa de Viterbo,111,170,1355,"8,2%","12,5%"
3547700,Sudeste,São Paulo,Santo Anastácio,111,290,1476,"7,5%","19,6%"
4203204,Sul,Santa Catarina,Camboriú,111,268,4079,"2,7%","6,6%"
2201176,Nordeste,Piauí,Barra D’Alcân- tara,110,185,859,"12,8%","21,5%"
2204352,Nordeste,Piauí,Geminiano,110,138,1715,"6,4%","8,0%"
2210102,Nordeste,Piauí,São José do Peixe,110,175,721,"15,3%","24,3%"
2306801,Nordeste,Ceará,Jaguaribara,110,383,1668,"6,6%","23,0%"
2311009,Nordeste,Ceará,Poranga,110,716,2656,"4,1%","27,0%"
2400109,Nordeste,Rio Grande do Norte,Acari,110,240,1409,"7,8%","17,0%"
2401909,Nordeste,Rio Grande do Norte,Caiçara do Rio do Vento,110,94,906,"12,1%","10,4%"
2404903,Nordeste,Rio Grande do Norte,Itaú,110,277,1459,"7,5%","19,0%"
2505600,Nordeste,Paraíba,Diamante,110,256,1170,"9,4%","21,9%"
2700904,Nordeste,Alagoas,Belo Monte,110,180,1514,"7,3%","11,9%"
2708204,Nordeste,Alagoas,São Brás,110,309,1119,"9,8%","27,6%"
2913457,Nordeste,Bahia,Igrapiúna,110,412,1676,"6,6%","24,6%"
2917201,Nordeste,Bahia,Ituaçu,110,691,2545,"4,3%","27,2%"
3114303,Sudeste,Minas Gerais,Carmo do Paranaíba,110,295,2201,"5,0%","13,4%"
3126802,Sudeste,Minas Gerais,Frei Gaspar,110,243,971,"11,3%","25,0%"
3144656,Sudeste,Minas Gerais,Ninheira,110,388,1758,"6,3%","22,1%"
3515152,Sudeste,São Paulo,Engenheiro Coelho,110,172,1409,"7,8%","12,2%"
4212809,Sul,Santa Catarina,Balneário Piçarras,110,205,1673,"6,6%","12,3%"
4305371,Sul,Rio Grande do Sul,Charrua,110,154,341,"32,3%","45,2%"
5100201,Centro-Oeste,Mato Grosso,Água Boa,110,234,2259,"4,9%","10,4%"
5101308,Centro-Oeste,Mato Grosso,Arenápolis,110,208,1235,"8,9%","16,8%"
1101104,Norte,Rondônia,Itapuã do Oeste,109,477,1298,"8,4%","36,7%"
1701903,Norte,Tocantins,Araguacema,109,297,947,"11,5%","31,4%"
2204659,Nordeste,Piauí,Ilha Grande,109,453,1658,"6,6%","27,3%"
2412559,Nordeste,Rio Grande do Norte,São Miguel do Gostoso,109,342,1788,"6,1%","19,1%"
2508604,Nordeste,Paraíba,Lucena,109,344,1704,"6,4%","20,2%"
2704005,Nordeste,Alagoas,Junqueiro,109,615,3975,"2,7%","15,5%"
2909703,Nordeste,Bahia,Cristópolis,109,417,1652,"6,6%","25,2%"
2910776,Nordeste,Bahia,Feira da Mata,109,359,1377,"7,9%","26,1%"
3117009,Sudeste,Minas Gerais,Comercinho,109,377,1202,"9,1%","31,4%"
3171006,Sudeste,Minas Gerais,Vazante,109,243,1284,"8,5%","18,9%"
3500105,Sudeste,São Paulo,Adamantina,109,145,1489,"7,3%","9,7%"
3505401,Sudeste,São Paulo,Barra do Turvo,109,402,1446,"7,5%","27,8%"
3540002,Sudeste,São Paulo,Pompéia,109,229,1387,"7,9%","16,5%"
3542206,Sudeste,São Paulo,Rancharia,109,236,1782,"6,1%","13,2%"
3545605,Sudeste,São Paulo,Santa Adélia,109,191,1603,"6,8%","11,9%"
4117008,Sul,Paraná,Nova Fátima,109,192,1079,"10,1%","17,8%"
4120002,Sul,Paraná,Porecatu,109,122,1095,"10,0%","11,1%"
4302055,Sul,Rio Grande do Sul,Benjamin Cons- tant do Sul,109,121,361,"30,2%","33,5%"
4307807,Sul,Rio Grande do Sul,Estrela,109,141,2141,"5,1%","6,6%"
5209952,Centro-Oeste,Goiás,Indiara,109,205,1662,"6,6%","12,3%"
5216304,Centro-Oeste,Goiás,Paranaiguara,109,176,1122,"9,7%","15,7%"
2301257,Nordeste,Ceará,Ararendá,108,810,2577,"4,2%","31,4%"
2405207,Nordeste,Rio Grande do Norte,Janduís,108,311,1419,"7,6%","21,9%"
2705309,Nordeste,Alagoas,Minador do Negrão,108,216,943,"11,5%","22,9%"
2801504,Nordeste,Sergipe,Carmópolis,108,461,2034,"5,3%","22,7%"
2918902,Nordeste,Bahia,Lajedão,108,307,1502,"7,2%","20,4%"
3122009,Sudeste,Minas Gerais,Divino,108,502,2673,"4,0%","18,8%"
3145877,Sudeste,Minas Gerais,Orizânia,108,336,1400,"7,7%","24,0%"
3146255,Sudeste,Minas Gerais,Padre Carvalho,108,123,973,"11,1%","12,6%"
3300951,Sudeste,Rio de Janeiro,Comendador Levy Gasparian,108,127,854,"12,6%","14,9%"
3508405,Sudeste,São Paulo,Cabreúva,108,196,2136,"5,1%","9,2%"
3525706,Sudeste,São Paulo,José Bonifácio,108,211,1815,"6,0%","11,6%"
3526407,Sudeste,São Paulo,Laranjal Paulista,108,167,1973,"5,5%","8,5%"
4121208,Sul,Paraná,Quitandinha,108,290,1914,"5,6%","15,2%"
4127502,Sul,Paraná,Tibagi,108,335,2471,"4,4%","13,6%"
4312500,Sul,Rio Grande do Sul,Mostardas,108,203,1412,"7,6%","14,4%"
4318101,Sul,Rio Grande do Sul,São Francisco de Assis,108,294,1730,"6,2%","17,0%"
4318200,Sul,Rio Grande do Sul,São Francisco de Paula,108,282,1812,"6,0%","15,6%"
5106828,Centro-Oeste,Mato Grosso,Porto Esperidião,108,250,1403,"7,7%","17,8%"
2202539,Nordeste,Piauí,Caraúbas do Piauí,107,294,1004,"10,7%","29,3%"
2311108,Nordeste,Ceará,Porteiras,107,555,2866,"3,7%","19,4%"
2502300,Nordeste,Paraíba,Bom Sucesso,107,222,1416,"7,6%","15,7%"
2904407,Nordeste,Bahia,Brejolândia,107,350,1463,"7,3%","23,9%"
3104700,Sudeste,Minas Gerais,Ataléia,107,449,1559,"6,9%","28,8%"
3151503,Sudeste,Minas Gerais,Piumhi,107,288,3007,"3,6%","9,6%"
3154101,Sudeste,Minas Gerais,Recreio,107,245,1132,"9,5%","21,6%"
3514106,Sudeste,São Paulo,Dois Córregos,107,193,1743,"6,1%","11,1%"
4309001,Sul,Rio Grande do Sul,Giruá,107,162,1764,"6,1%","9,2%"
5200803,Centro-Oeste,Goiás,Alvorada do Norte,107,229,1175,"9,1%","19,5%"
5219803,Centro-Oeste,Goiás,São Domingos,107,313,1584,"6,8%","19,8%"
5221197,Centro-Oeste,Goiás,Terezópolis de Goiás,107,272,1279,"8,4%","21,3%"
1600212,Norte,Amapá,Cutias,106,236,1101,"9,6%","21,4%"
2108207,Nordeste,Maranhão,Pedreiras,106,741,4183,"2,5%","17,7%"
2204808,Nordeste,Piauí,Ipiranga do Piauí,106,411,1794,"5,9%","22,9%"
2308906,Nordeste,Ceará,Morrinhos,106,593,2895,"3,7%","20,5%"
2404853,Nordeste,Rio Grande do Norte,Itajá,106,275,1530,"6,9%","18,0%"
2407252,Nordeste,Rio Grande do Norte,Major Sales,106,140,961,"11,0%","14,6%"
2407609,Nordeste,Rio Grande do Norte,Messias Targino,106,355,1306,"8,1%","27,2%"
2707404,Nordeste,Alagoas,Porto de Pedras,106,388,1431,"7,4%","27,1%"
2926707,Nordeste,Bahia,Rio de Contas,106,273,1749,"6,1%","15,6%"
3536307,Sudeste,São Paulo,Patrocínio Paulista,106,133,1121,"9,5%","11,9%"
3538501,Sudeste,São Paulo,Piquete,106,196,1010,"10,5%","19,4%"
4114401,Sul,Paraná,Mangueirinha,106,223,1676,"6,3%","13,3%"
4124707,Sul,Paraná,São Jerônimo da Serra,106,238,1206,"8,8%","19,7%"
5206404,Centro-Oeste,Goiás,Crixás,106,278,1300,"8,2%","21,4%"
2100402,Nordeste,Maranhão,Altamira do Maranhão,105,397,1320,"8,0%","30,1%"
2102036,Nordeste,Maranhão,Bom Jesus das Selvas,105,664,4826,"2,2%","13,8%"
2106904,Nordeste,Maranhão,Monção,105,944,4827,"2,2%","19,6%"
2111029,Nordeste,Maranhão,São João do Carú,105,348,1761,"6,0%","19,8%"
2311231,Nordeste,Ceará,Potiretama,105,407,1539,"6,8%","26,4%"
2409332,Nordeste,Rio Grande do Norte,Santa Maria,105,234,847,"12,4%","27,6%"
2513208,Nordeste,Paraíba,Santa Cruz,105,182,1021,"10,3%","17,8%"
2924702,Nordeste,Bahia,Piripá,105,397,1792,"5,9%","22,2%"
2931053,Nordeste,Bahia,Tanque Novo,105,644,2463,"4,3%","26,1%"
3113008,Sudeste,Minas Gerais,Caraí,105,476,2306,"4,6%","20,6%"
3126604,Sudeste,Minas Gerais,Francisco Dumont,105,173,785,"13,4%","22,0%"
3137502,Sudeste,Minas Gerais,Lagoa Formosa,105,148,1552,"6,8%","9,5%"
3507407,Sudeste,São Paulo,Borborema,105,160,1211,"8,7%","13,2%"
4104501,Sul,Paraná,Capanema,105,193,1381,"7,6%","14,0%"
4107009,Sul,Paraná,Curiúva,105,278,1657,"6,3%","16,8%"
4313953,Sul,Rio Grande do Sul,Pantano Grande,105,174,1601,"6,6%","10,9%"
4319737,Sul,Rio Grande do Sul,São Valério do Sul,105,145,404,"26,0%","35,9%"
5215306,Centro-Oeste,Goiás,Orizona,105,146,1301,"8,1%","11,2%"
5221080,Centro-Oeste,Goiás,Teresina de Goiás,105,327,1029,"10,2%","31,8%"
1705102,Norte,Tocantins,Chapada da Natividade,104,185,688,"15,1%","26,9%"
1713304,Norte,Tocantins,Miranorte,104,705,1576,"6,6%","44,7%"
1720804,Norte,Tocantins,Sítio Novo do Tocantins,104,857,1841,"5,6%","46,6%"
2201408,Nordeste,Piauí,Barro Duro,104,275,1276,"8,2%","21,6%"
2202083,Nordeste,Piauí,Cajueiro da Praia,104,350,1620,"6,4%","21,6%"
2403202,Nordeste,Rio Grande do Norte,Doutor Seve- riano,104,297,1320,"7,9%","22,5%"
2413300,Nordeste,Rio Grande do Norte,Serra de São Bento,104,174,1111,"9,4%","15,7%"
2512077,Nordeste,Paraíba,Poço de José de Moura,104,188,823,"12,6%","22,8%"
3148301,Sudeste,Minas Gerais,Paula Cândido,104,268,1390,"7,5%","19,3%"
3533007,Sudeste,São Paulo,Nova Granada,104,173,1234,"8,4%","14,0%"
4103453,Sul,Paraná,Cafelândia,104,238,1676,"6,2%","14,2%"
4107751,Sul,Paraná,Figueira,104,209,1114,"9,3%","18,8%"
4128500,Sul,Paraná,Wenceslau Braz,104,237,2220,"4,7%","10,7%"
4310108,Sul,Rio Grande do Sul,Igrejinha,104,159,3788,"2,7%","4,2%"
5004502,Centro-Oeste,Mato Grosso do Sul,Itaporã,104,202,1495,"7,0%","13,5%"
5205455,Centro-Oeste,Goiás,Cezarina,104,201,1090,"9,5%","18,4%"
5214705,Centro-Oeste,Goiás,Nova América,104,136,677,"15,4%","20,1%"
1100700,Norte,Rondônia,Campo Novo de Rondônia,103,289,921,"11,2%","31,4%"
2100600,Nordeste,Maranhão,Amarante do Maranhão,103,832,3779,"2,7%","22,0%"
2111953,Nordeste,Maranhão,Sucupira do Riachão,103,305,1218,"8,5%","25,0%"
2514909,Nordeste,Paraíba,São Mamede,103,318,1326,"7,8%","24,0%"
2916302,Nordeste,Bahia,Itapebi,103,244,1739,"5,9%","14,0%"
3114501,Sudeste,Minas Gerais,Carmópolis de Minas,103,197,1568,"6,6%","12,6%"
3127305,Sudeste,Minas Gerais,Galiléia,103,182,907,"11,4%","20,1%"
3203130,Sudeste,Espírito Santo,João Neiva,103,237,1639,"6,3%","14,5%"
4207007,Sul,Santa Catarina,Içara,103,155,2289,"4,5%","6,8%"
5203500,Centro-Oeste,Goiás,Bom Jesus de Goiás,103,212,1923,"5,4%","11,0%"
5207535,Centro-Oeste,Goiás,Faina,103,176,912,"11,3%","19,3%"
5207600,Centro-Oeste,Goiás,Fazenda Nova,103,198,794,"13,0%","24,9%"
5212808,Centro-Oeste,Goiás,Mara Rosa,103,218,1383,"7,4%","15,8%"
5214861,Centro-Oeste,Goiás,Nova Glória,103,238,1149,"9,0%","20,7%"
2104552,Nordeste,Maranhão,Governador Edison Lobão,102,346,2559,"4,0%","13,5%"
2312502,Nordeste,Ceará,São João do Jaguaribe,102,300,1214,"8,4%","24,7%"
2407005,Nordeste,Rio Grande do Norte,Luís Gomes,102,155,1439,"7,1%","10,8%"
2603405,Nordeste,Pernambuco,Calumbi,102,112,1473,"6,9%","7,6%"
2909505,Nordeste,Bahia,Cravolândia,102,190,843,"12,1%","22,5%"
2910206,Nordeste,Bahia,Dom Macedo Costa,102,64,729,"14,0%","8,8%"
