Cod_IBGE,Região,UF,Município,Cadinsan_absoluto_com_PBF,Cadinsan_absoluto_sem_PBF,Cadastros_Cadunico,Cadinsan_proporcional_com_PBF,Cadinsan_proporcional_sem_PBF
1301209,Norte,Amazonas,Coari,1172,7279,9817,"11,9%","74,1%"
2602308,Nordeste,Pernambuco,Bonito,1169,2938,10177,"11,5%","28,9%"
2308708,Nordeste,Ceará,Morada Nova,1168,3029,10562,"11,1%","28,7%"
2906303,Nordeste,Bahia,Canavieiras,1163,993,6375,"18,2%","15,6%"
2806701,Nordeste,Sergipe,São Cristóvão,1161,2815,11834,"9,8%","23,8%"
2904902,Nordeste,Bahia,Cachoeira,1161,1839,6942,"16,7%","26,5%"
3548906,Sudeste,São Paulo,São Carlos,1156,1710,10829,"10,7%","15,8%"
2308609,Nordeste,Ceará,Monsenhor Tabosa,1155,1330,4637,"24,9%","28,7%"
5000609,Centro-Oeste,Mato Grosso do Sul,Amambai,1154,1666,6454,"17,9%","25,8%"
1505304,Norte,Pará,Oriximiná,1153,6528,10859,"10,6%","60,1%"
1506559,Norte,Pará,Santa Luzia do Pará,1149,2829,4188,"27,4%","67,6%"
5006606,Centro-Oeste,Mato Grosso do Sul,Ponta Porã,1145,2182,14702,"7,8%","14,8%"
3506359,Sudeste,São Paulo,Bertioga,1144,1379,7041,"16,2%","19,6%"
4300604,Sul,Rio Grande do Sul,Alvorada,1144,1909,13832,"8,3%","13,8%"
2305506,Nordeste,Ceará,Iguatu,1141,4080,14865,"7,7%","27,4%"
2612208,Nordeste,Pernambuco,Salgueiro,1131,2676,9858,"11,5%","27,1%"
5208004,Centro-Oeste,Goiás,Formosa,1131,2266,11131,"10,2%","20,4%"
2605202,Nordeste,Pernambuco,Escada,1129,2193,9191,"12,3%","23,9%"
2300309,Nordeste,Ceará,Acopiara,1126,1866,7236,"15,6%","25,8%"
4125506,Sul,Paraná,São José dos Pinhais,1125,1854,19866,"5,7%","9,3%"
1200500,Norte,Acre,Sena Madureira,1124,3687,7343,"15,3%","50,2%"
2208809,Nordeste,Piauí,Regeneração,1123,1752,5659,"19,8%","31,0%"
3510500,Sudeste,São Paulo,Caraguatatuba,1122,1626,11133,"10,1%","14,6%"
2208403,Nordeste,Piauí,Piripiri,1121,2869,9746,"11,5%","29,4%"
2312205,Nordeste,Ceará,Santa Quitéria,1115,2182,7875,"14,2%","27,7%"
2706901,Nordeste,Alagoas,Pilar,1112,904,6739,"16,5%","13,4%"
2613008,Nordeste,Pernambuco,São Bento do Una,1111,610,8862,"12,5%","6,9%"
3502804,Sudeste,São Paulo,Araçatuba,1104,1814,11425,"9,7%","15,9%"
2601607,Nordeste,Pernambuco,Belém do São Francisco,1103,1012,5071,"21,8%","20,0%"
1500503,Norte,Pará,Almeirim,1101,2750,5471,"20,1%","50,3%"
5221403,Centro-Oeste,Goiás,Trindade,1099,2213,16693,"6,6%","13,3%"
2103307,Nordeste,Maranhão,Codó,1094,3521,17194,"6,4%","20,5%"
2920106,Nordeste,Bahia,Mairi,1094,318,4400,"24,9%","7,2%"
1303908,Norte,Amazonas,São Paulo de Olivença,1093,4637,5915,"18,5%","78,4%"
2924405,Nordeste,Bahia,Pilão Arcado,1091,654,5590,"19,5%","11,7%"
1503804,Norte,Pará,Jacundá,1088,2673,6255,"17,4%","42,7%"
2607505,Nordeste,Pernambuco,Itaíba,1083,1632,6235,"17,4%","26,2%"
2103703,Nordeste,Maranhão,Cururupu,1082,2229,7210,"15,0%","30,9%"
5001102,Centro-Oeste,Mato Grosso do Sul,Aquidauana,1080,2226,9220,"11,7%","24,1%"
3302601,Sudeste,Rio de Janeiro,Mangaratiba,1079,1207,6111,"17,7%","19,8%"
1503457,Norte,Pará,Ipixuna do Pará,1077,2488,5688,"18,9%","43,7%"
1505502,Norte,Pará,Paragominas,1077,6137,12734,"8,5%","48,2%"
3306107,Sudeste,Rio de Janeiro,Valença,1077,2116,8806,"12,2%","24,0%"
1504307,Norte,Pará,Maracanã,1076,3940,6317,"17,0%","62,4%"
2110500,Nordeste,Maranhão,São Bento,1075,1404,5853,"18,4%","24,0%"
2313104,Nordeste,Ceará,Tabuleiro do Norte,1071,1118,7352,"14,6%","15,2%"
1500859,Norte,Pará,Anapu,1069,2142,5490,"19,5%","39,0%"
2613107,Nordeste,Pernambuco,São Caitano,1069,1322,8427,"12,7%","15,7%"
5101803,Centro-Oeste,Mato Grosso,Barra do Garças,1068,1453,9024,"11,8%","16,1%"
2207702,Nordeste,Piauí,Parnaíba,1066,4172,17574,"6,1%","23,7%"
2908408,Nordeste,Bahia,Conceição do Coité,1065,2824,11805,"9,0%","23,9%"
2506301,Nordeste,Paraíba,Guarabira,1064,834,7953,"13,4%","10,5%"
2613206,Nordeste,Pernambuco,São João,1060,1598,4877,"21,7%","32,8%"
2613909,Nordeste,Pernambuco,Serra Talhada,1055,2274,11860,"8,9%","19,2%"
2913903,Nordeste,Bahia,Ipiaú,1055,1823,8436,"12,5%","21,6%"
3304201,Sudeste,Rio de Janeiro,Resende,1053,1662,11160,"9,4%","14,9%"
3303401,Sudeste,Rio de Janeiro,Nova Friburgo,1052,1598,12691,"8,3%","12,6%"
2612406,Nordeste,Pernambuco,Sanharó,1051,1231,5433,"19,3%","22,7%"
3303609,Sudeste,Rio de Janeiro,Paracambi,1051,2083,6750,"15,6%","30,9%"
1502806,Norte,Pará,Curralinho,1048,3349,5710,"18,4%","58,7%"
2932002,Nordeste,Bahia,Uauá,1042,2080,7548,"13,8%","27,6%"
5217609,Centro-Oeste,Goiás,Planaltina,1042,2556,12830,"8,1%","19,9%"
2112506,Nordeste,Maranhão,Tutóia,1036,2435,8972,"11,5%","27,1%"
3143906,Sudeste,Minas Gerais,Muriaé,1035,1408,10711,"9,7%","13,1%"
1400456,Norte,Roraima,Pacaraima,1031,2418,4095,"25,2%","59,0%"
2601102,Nordeste,Pernambuco,Araripina,1026,2306,14032,"7,3%","16,4%"
2917003,Nordeste,Bahia,Itiúba,1026,1459,6526,"15,7%","22,4%"
1300631,Norte,Amazonas,Beruri,1020,3776,5028,"20,3%","75,1%"
1504455,Norte,Pará,Medicilândia,1017,2467,4517,"22,5%","54,6%"
2614105,Nordeste,Pernambuco,Sertânia,1015,1538,7077,"14,3%","21,7%"
2607604,Nordeste,Pernambuco,Ilha de Itama- racá,1013,254,4844,"20,9%","5,2%"
2908903,Nordeste,Bahia,Coração de Maria,1012,1568,6400,"15,8%","24,5%"
1507953,Norte,Pará,Tailândia,1011,5090,10632,"9,5%","47,9%"
3541406,Sudeste,São Paulo,Presidente Prudente,1006,1617,10446,"9,6%","15,5%"
3129806,Sudeste,Minas Gerais,Ibirité,1005,2200,13818,"7,3%","15,9%"
2704203,Nordeste,Alagoas,Limoeiro de Anadia,1003,1375,5591,"17,9%","24,6%"
2105104,Nordeste,Maranhão,Icatu,1001,1607,4311,"23,2%","37,3%"
2805604,Nordeste,Sergipe,Porto da Folha,1001,1680,5739,"17,4%","29,3%"
2108603,Nordeste,Maranhão,Pinheiro,997,5995,15996,"6,2%","37,5%"
1300607,Norte,Amazonas,Benjamin Constant,996,4839,6411,"15,5%","75,5%"
1505908,Norte,Pará,Porto de Moz,993,3600,7385,"13,4%","48,7%"
1600402,Norte,Amapá,Mazagão,992,3003,4634,"21,4%","64,8%"
1507706,Norte,Pará,São Sebastião da Boa Vista,990,3413,4807,"20,6%","71,0%"
2112803,Nordeste,Maranhão,Viana,988,2182,7923,"12,5%","27,5%"
4314100,Sul,Rio Grande do Sul,Passo Fundo,987,1270,12412,"8,0%","10,2%"
2615607,Nordeste,Pernambuco,Trindade,983,743,7613,"12,9%","9,8%"
4118204,Sul,Paraná,Paranaguá,983,1778,10348,"9,5%","17,2%"
2301000,Nordeste,Ceará,Aquiraz,982,2593,12106,"8,1%","21,4%"
2614501,Nordeste,Pernambuco,Surubim,980,779,9692,"10,1%","8,0%"
2203909,Nordeste,Piauí,Floriano,977,2000,7659,"12,8%","26,1%"
3513504,Sudeste,São Paulo,Cubatão,975,1466,8324,"11,7%","17,6%"
1301605,Norte,Amazonas,Fonte Boa,972,4530,5522,"17,6%","82,0%"
2910057,Nordeste,Bahia,Dias d’Ávila,970,2623,10138,"9,6%","25,9%"
2925204,Nordeste,Bahia,Pojuca,969,336,5088,"19,0%","6,6%"
2807402,Nordeste,Sergipe,Tobias Barreto,961,2792,9732,"9,9%","28,7%"
2307601,Nordeste,Ceará,Limoeiro do Norte,956,1900,9893,"9,7%","19,2%"
2400208,Nordeste,Rio Grande do Norte,Açu,954,2366,10154,"9,4%","23,3%"
3550704,Sudeste,São Paulo,São Sebastião,954,1260,6987,"13,7%","18,0%"
2906709,Nordeste,Bahia,Cândido Sales,949,954,6413,"14,8%","14,9%"
1303007,Norte,Amazonas,Nhamundá,948,3337,4816,"19,7%","69,3%"
2108405,Nordeste,Maranhão,Peri Mirim,947,1554,3281,"28,9%","47,4%"
1508100,Norte,Pará,Tucuruí,939,6455,12618,"7,4%","51,2%"
2907103,Nordeste,Bahia,Carinhanha,934,1365,7318,"12,8%","18,7%"
3303203,Sudeste,Rio de Janeiro,Nilópolis,931,2673,10349,"9,0%","25,8%"
5107958,Centro-Oeste,Mato Grosso,Tangará da Serra,928,1294,9098,"10,2%","14,2%"
2311405,Nordeste,Ceará,Quixeramobim,927,3125,13084,"7,1%","23,9%"
2306405,Nordeste,Ceará,Itapipoca,925,3680,16168,"5,7%","22,8%"
3524402,Sudeste,São Paulo,Jacareí,924,1806,11401,"8,1%","15,8%"
1502004,Norte,Pará,Cachoeira do Arari,923,2307,4084,"22,6%","56,5%"
2605103,Nordeste,Pernambuco,Custódia,923,341,9035,"10,2%","3,8%"
2613503,Nordeste,Pernambuco,São José do Belmonte,922,1245,6563,"14,0%","19,0%"
2912103,Nordeste,Bahia,Ibicaraí,919,728,5842,"15,7%","12,5%"
4119152,Sul,Paraná,Pinhais,919,1387,10272,"8,9%","13,5%"
1304401,Norte,Amazonas,Urucurituba,917,2789,4138,"22,2%","67,4%"
1501907,Norte,Pará,Bujaru,917,2076,4499,"20,4%","46,1%"
2931905,Nordeste,Bahia,Tucano,915,138,11041,"8,3%","1,2%"
1508001,Norte,Pará,Tomé-Açu,914,5691,10816,"8,5%","52,6%"
2931707,Nordeste,Bahia,Terra Nova,913,176,3381,"27,0%","5,2%"
3503208,Sudeste,São Paulo,Araraquara,912,1455,10316,"8,8%","14,1%"
3305554,Sudeste,Rio de Janeiro,Seropédica,911,2104,15252,"6,0%","13,8%"
1720903,Norte,Tocantins,Taguatinga,909,1682,3842,"23,7%","43,8%"
1503705,Norte,Pará,Itupiranga,907,4464,8175,"11,1%","54,6%"
2610806,Nordeste,Pernambuco,Pedra,905,1781,4360,"20,8%","40,8%"
2311801,Nordeste,Ceará,Russas,904,1803,9677,"9,3%","18,6%"
2110203,Nordeste,Maranhão,Santa Rita,901,2264,8038,"11,2%","28,2%"
2915601,Nordeste,Bahia,Itamaraju,896,2087,10613,"8,4%","19,7%"
2600807,Nordeste,Pernambuco,Altinho,891,959,5717,"15,6%","16,8%"
2611705,Nordeste,Pernambuco,Riacho das Almas,891,2365,6933,"12,9%","34,1%"
